a,b,score
CDC20,STAG2,0.436
CDK1,STAG2,0.547
AURKB,STAG2,0.590
PLK1,STAG2,0.817
MAU2,STAG2,0.827
CDCA5,STAG2,0.977
NIPBL,STAG2,0.982
ESPL1,STAG2,0.987
PDS5B,STAG2,0.996
STAG1,STAG2,0.996
STAG2,WAPL,0.997
SMC3,STAG2,0.999
RAD21,STAG2,0.999
PDS5A,STAG2,0.999
SMC1A,STAG2,0.999
ESPL1,MAU2,0.725
ESPL1,PDS5B,0.804
ESPL1,NIPBL,0.887
CDCA5,ESPL1,0.930
ESPL1,PDS5A,0.947
ESPL1,WAPL,0.959
ESPL1,SMC1A,0.975
AURKB,ESPL1,0.985
CDC20,ESPL1,0.988
ESPL1,STAG1,0.989
ESPL1,PLK1,0.994
ESPL1,SMC3,0.994
CDK1,ESPL1,0.995
ESPL1,RAD21,0.997
MAU2,SMC1A,0.883
MAU2,RAD21,0.902
MAU2,STAG1,0.911
CDCA5,MAU2,0.917
MAU2,PDS5B,0.922
MAU2,SMC3,0.942
MAU2,WAPL,0.982
MAU2,PDS5A,0.988
MAU2,NIPBL,0.999
CDCA5,PLK1,0.893
CDC20,CDCA5,0.938
AURKB,CDCA5,0.968
CDCA5,NIPBL,0.970
CDCA5,SMC1A,0.973
CDCA5,STAG1,0.975
CDCA5,CDK1,0.979
CDCA5,RAD21,0.988
CDCA5,PDS5B,0.990
CDCA5,SMC3,0.994
CDCA5,WAPL,0.998
CDCA5,PDS5A,0.999
AURKB,NIPBL,0.559
NIPBL,PDS5B,0.989
NIPBL,STAG1,0.997
NIPBL,PDS5A,0.998
NIPBL,WAPL,0.998
NIPBL,SMC3,0.999
NIPBL,RAD21,0.999
NIPBL,SMC1A,0.999
CDC20,RAD21,0.584
CDK1,RAD21,0.718
AURKB,RAD21,0.856
PLK1,RAD21,0.894
PDS5B,RAD21,0.998
RAD21,STAG1,0.999
RAD21,WAPL,0.999
RAD21,SMC1A,0.999
RAD21,SMC3,0.999
PDS5A,RAD21,0.999
AURKB,WAPL,0.587
CDK1,WAPL,0.649
PLK1,WAPL,0.785
SMC1A,WAPL,0.993
PDS5A,WAPL,0.999
SMC3,WAPL,0.999
STAG1,WAPL,0.999
PDS5B,WAPL,0.999
PDS5B,PLK1,0.683
PDS5A,PLK1,0.746
PLK1,STAG1,0.761
PLK1,SMC3,0.915
PLK1,SMC1A,0.924
AURKB,PLK1,0.939
CDK1,PLK1,0.993
CDC20,PLK1,0.999
CDK1,PDS5A,0.640
AURKB,PDS5A,0.743
PDS5A,PDS5B,0.971
PDS5A,SMC1A,0.998
PDS5A,STAG1,0.999
PDS5A,SMC3,0.999
CDK1,PDS5B,0.570
PDS5B,STAG1,0.990
PDS5B,SMC1A,0.997
PDS5B,SMC3,0.997
AURKB,STAG1,0.409
AURKB,SMC1A,0.461
AURKB,SMC3,0.726
AURKB,CDK1,0.997
AURKB,CDC20,0.998
CDK1,SMC1A,0.619
SMC1A,STAG1,0.999
SMC1A,SMC3,0.999
CDC20,SMC3,0.515
CDK1,SMC3,0.722
SMC3,STAG1,0.999
CDC20,CDK1,0.999
CDK1,STAG1,0.589
