"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"34","14","WikiPathways","","Cohesin complex - Cornelia de Lange syndrome","2.94E-33","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|699","3.77E-36","","WP5117","3.253165266958784","0"
"11","11","STRING Clusters","","Cohesin Loading onto Chromatin","3.22E-27","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|717|723|729|765|753|771|741|777|759|747","7.03E-31","","CL:7353","2.6492144128304167","0"
"13","11","Reactome Pathways","","Mitotic Telophase/Cytokinesis","5.68E-27","STAG2|MAU2|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|717|729|765|753|711|771|741|777|759|747","2.49E-30","","HSA-68884","2.6245651664288983","0"
"10","10","Reactome Pathways","","Cohesin Loading onto Chromatin","6.44E-25","STAG2|MAU2|NIPBL|RAD21|WAPL|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|717|729|765|753|771|741|777|759|747","6.05E-28","","HSA-2470946","2.4191114132640186","0"
"382","16","Reactome Pathways","","M Phase","6.44E-25","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","5.64E-28","","HSA-68886","2.4191114132640186","0"
"42","12","GO Biological Process","","Sister chromatid cohesion","1.35E-24","STAG2|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|SMC1A|SMC3|CDC20|STAG1","580","669|717|723|729|765|711|771|741|777|759|672|747","8.63E-29","","GO:0007062","2.3869666231504993","0"
"144","14","GO Biological Process","","Sister chromatid segregation","2.32E-24","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|717|723|729|765|711|771|741|705|777|759|672|747","2.96E-28","","GO:0000819","2.3634512015109097","0"
"125","13","Reactome Pathways","","Resolution of Sister Chromatid Cohesion","1.7E-23","STAG2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|723|765|753|711|771|741|705|777|759|672|747|699","2.99E-26","","HSA-2500257","2.2769551078621726","0"
"232","14","Reactome Pathways","","Mitotic Anaphase","6.83E-23","STAG2|ESPL1|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|723|765|753|711|771|741|705|777|759|672|747|699","1.79E-25","","HSA-68882","2.2165579296318465","0"
"11","9","Reactome Pathways","","Establishment of Sister Chromatid Cohesion","4.41E-22","STAG2|CDCA5|RAD21|WAPL|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|723|765|753|771|741|777|759|747","1.55E-24","","HSA-2468052","2.135556141053216","0"
